Microsoft Azure Estimate;;;;;;;;;;;;;;;;;;;;;;;;;
SciTub Basic;;;;;;;;;;;;;;;;;;;;;;;;;
Service type;Custom name;Region;Description;Estimated Cost;;;;;;;;;;;;;;;;;;;;;
Storage;table storage 1gb;East US;Table Storage, Standard, LRS Redundancy, 1 GB Capacity, 100 Storage transactions;$0,11;;;;;;;;;;;;;;;;;;;;;
Azure Backup;;East US;Azure VMs Type, 1 Instance(s) x 0 GB, LRS Redundancy, Moderate Average Daily Churn, 30 Daily RPs, 0 Weekly RPs, 0 Monthly RPs, 0 Yearly RPs,  After 1st year Duration, 0 Total Storage;$0,00;;;;;;;;;;;;;;;;;;;;;
App Service;;West Europe;"Basic Tier; 1 B1 (1 Core(s), 1.75 GB RAM, 10 GB Storage) x 730 Hours; Linux OS";$38,69;;;;;;;;;;;;;;;;;;;;;
Content Delivery Network;;;Zone 1: 20 GB, Zone 2: 0 GB, Zone 3: 0 GB, Zone 4: 0 GB, Zone 5: 1 GB, DSA: 0 GB;$1,78;;;;;;;;;;;;;;;;;;;;;
Load Balancer;;West US;Basic Load Balancer is free of charge;$0,00;;;;;;;;;;;;;;;;;;;;;
Application Gateway;;East US;Basic tier, Medium Instance size: 0 Gateway hours instance(s) x 730 Hours, 0 TB Data processed unit(s), 5 GB Zone unit(s);$0,00;;;;;;;;;;;;;;;;;;;;;
IP Addresses;;East US;1 Dynamic IP Addresses, 5 Static IP Addresses, 0 Remaps;$0,00;;;;;;;;;;;;;;;;;;;;;
Storage;Temp_blob_for_encoding;East US;Block Blob Storage, General Purpose V1, LRS Redundancy, 10 GB Capacity, 100 Storage transactions;$0,28;;;;;;;;;;;;;;;;;;;;;
Storage;blob_for_streaming;East US;Block Blob Storage, Blob Storage, LRS Redundancy, Hot Access Tier, 50 GB Capacity, 100,000 Write operations, 100,000 List and Create Container Operations, 100,000 Read operations, 100 Other operations. 10 GB Data Retrieval, 10 GB Data Write;$2,08;;;;;;;;;;;;;;;;;;;;;
Support;;;Support;$0,00;;;;;;;;;;;;;;;;;;;;;
;;;Licensing Program;Microsoft Online Services Program (MOSP);;;;;;;;;;;;;;;;;;;;;
;;;Monthly Total;$42,93;;;;;;;;;;;;;;;;;;;;;
;;;Annual Total;$515,16;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Disclaimer;;;;;;;;;;;;;;;;;;;;;;;;;
All prices shown are in US Dollar ($). This is a summary estimate, not a quote. For up to date pricing information please visit https://azure.microsoft.com/pricing/calculator/;;;;;;;;;;;;;;;;;;;;;;;;;
This estimate was created at 3/18/2019 11:14:31 PM UTC.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
