Microsoft Azure Estimate;;;;;;;;;;;;;;;;;;;;;;;;
SciTub Premium      All: region West Europe;;;;;;;;;;;;;;;;;;;;;;;;
Service type  /;Custom name;Description;Estimated Cost;;;;;;;;;;;;;;;;;;;;;
Storage;Table Storage 10GB;Table Storage, Standard, GRS Redundancy, 10 GB Capacity, 10000 Storage transactions;€3,84;;;;;;;;;;;;;;;;;;;;;
Azure Backup;Azure Backup (2 for App&DB-Instances?);Azure VMs Type, 2 Instance(s) x 1 GB, LRS Redundancy, Moderate Average Daily Churn, 30 Daily RPs, 0 Weekly RPs, 0 Monthly RPs, 0 Yearly RPs,  After 1st month Duration, 4 Total Storage;€8,51;;;;;;;;;;;;;;;;;;;;;
App Service;;"Basic Tier; 2 B1 (1 Core(s), 1.75 GB RAM, 10 GB Storage) x 730 Hours; Linux OS";€65,25;;;;;;;;;;;;;;;;;;;;;
Content Delivery Network;;Zone 1: 2 GB, Zone 2: 2 GB, Zone 3: 0 GB, Zone 4: 0 GB, Zone 5: 1 GB, DSA: 0 GB;€499,13;;;;;;;;;;;;;;;;;;;;;
Load Balancer;;Standard Tier: 5 Rules, 1,000 GB Data Processed;€19,61;;;;;;;;;;;;;;;;;;;;;
Application Gateway;    (needed?);Basic tier, Small Instance size: 1 Gateway hours instance(s) x 730 Hours, 100 GB Data processed unit(s), 5 GB Zone unit(s);€17,91;;;;;;;;;;;;;;;;;;;;;
IP Addresses;IP-Adressen (gratis leistungen);1 Dynamic IP Addresses, 5 Static IP Addresses, 0 Remaps;€0,00;;;;;;;;;;;;;;;;;;;;;
Storage;Temp_blob_for_encoding;Block Blob Storage, General Purpose V1, LRS Redundancy, 50 GB Capacity, 1000 Storage transactions;€1,32;;;;;;;;;;;;;;;;;;;;;
Storage;blob_for_streaming;Block Blob Storage, Blob Storage, LRS Redundancy, Hot Access Tier, 10 TB Capacity, 10,000 Write operations, 10,000 List and Create Container Operations, 100,000 Read operations, 100 Other operations. 10 GB Data Retrieval, 10 GB Data Write;€169,38;;;;;;;;;;;;;;;;;;;;;
Bandwidth;;Zone 1: North America, Europe, 6 TB;€450,40;;;;;;;;;;;;;;;;;;;;;
Azure Firewall;;0 Logical firewall units x 730 Hours, 0 GB Inbound data transfer, 0 GB Outbound data transfer;€0,00;;;;;;;;;;;;;;;;;;;;;
Media Services;;"Video on Demand (VoD) Encoding type; Standard encoder type; HD (1280×720 - 1920x1080) output quality; Output Minutes: 4 ; Reserved Units: 0 S1 hour(s), 0 S2 hour(s), 0 S3 hour(s)";€6,83;;;;;;;;;;;;;;;;;;;;;
Media Services;;"Live Video type; with Live Encoding channel type; 24 hour(s)";€66,35;;;;;;;;;;;;;;;;;;;;;
Support;;Support;€84,33;;;;;;;;;;;;;;;;;;;;;
;;Licensing Program;Microsoft Online Services Program (MOSP);;;;;;;;;;;;;;;;;;;;;
;;Monthly Total;€1.392,85;;;;;;;;;;;;;;;;;;;;;
;;Annual Total;€16.714,25;;;;;;;;;;;;;;;;;;;;;
